"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=PtQiiknWUcI","https://i.ytimg.com/vi/PtQiiknWUcI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDNd1wD4N28Uk7e0jj6_pZe1dNhpw","7:10:05","Python Django 7 Hour Course","Traversy Media","•","952K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=DmEDs6SLyCs","https://i.ytimg.com/vi/DmEDs6SLyCs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBGOs0n71FSwhRC28OErf0CyNVP8A","13:13","Meep Form! - Django Wednesdays Twitter #8","Codemy.com","•","933 views","3 weeks ago",""
"https://www.youtube.com/watch?v=N6jzspc2kds","https://i.ytimg.com/vi/N6jzspc2kds/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDNqNiICwIqlPdAXDjpW_BHiyNAlQ","1:11:54","Complete Django CRUD Operations","CodAffection","•","246K views","3 years ago",""
"https://www.youtube.com/watch?v=9sIE7txjY-Y","","33:46","FIRST LOOK! Next.js App Directory API Routes! (Canary Build, Brand New!)","Ethan Mick","•","673 views","6 days ago",""
"","","","","","","","",""
"https://www.youtube.com/watch?v=9sIE7txjY-Y","https://i.ytimg.com/vi/9sIE7txjY-Y/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBCxV-cdhtcfeRMaVMXDjsWsDD6OQ","33:46","FIRST LOOK! Next.js App Directory API Routes! (Canary Build, Brand New!)","Ethan Mick","•","673 views","6 days ago",""
"https://www.youtube.com/watch?v=zglBdzzoDjM","https://i.ytimg.com/vi/zglBdzzoDjM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA_-2cw1mI5HLHJVed6GZAPzolEyw","11:36","Using Bootstrap in Python Django Projects Tutorial","Keep coding","•","38K views","2 years ago",""
"https://www.youtube.com/watch?v=-oQvMHpKkms","https://i.ytimg.com/vi/-oQvMHpKkms/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBR-MZ1dAF4EDHlid8K9ol4dhJXMA","4:22:01","Try DJANGO TUTORIAL Series (v2.2) //  PYTHON Web Development with Django version 2.2","CodingEntrepreneurs","•","232K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=1UvTNMH7zDo","","1:19:19","How to Create a Login System in Python Using Django? | Python Projects | GeeksforGeeks","GeeksforGeeks","•","369K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=b0CgA_Ap_Mc","","27:59","Django Tutorial - Templates & Custom HTML","Tech With Tim","•","79K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=OduVfuv44K8","","1:47:49","Python Django - Build Inline Formsets (with CBV's) Example 1","Very Academy","•","27K views","2 years ago",""
